id,title,company,location,workload,contractType,salary,publishedDate,description,url,scrapedAt
job_1,Full-Stack Software Engineer (Angular & Node.js) – 100% On-Site in Zürich,,Zürich,100%,,,,Last monthFull-Stack Software Engineer (Angular & Node.js) – 100% On-Site in ZürichPlace of work:ZürichWorkload:100%Contract type:Unlimited employmentIR Suite AG,https://www.jobs.ch/en/vacancies/detail/97bdc7ad-9c99-433e-a1d3-a6db99afa06a/,2025-08-30T12:56:21.679Z
job_2,Full-Stack Software Engineer (Angular & Node.js) – 100% On-Site in Zürich,,Zürich,100%,,,,Last monthFull-Stack Software Engineer (Angular & Node.js) – 100% On-Site in ZürichPlace of work:ZürichWorkload:100%Contract type:Unlimited employmentIR Suite AG,,2025-08-30T12:56:21.679Z
job_3,Frontend Developer (Angular/TypeScript) – 100 % On-Site in Zürich,,Zürich,100%,,,,Last weekFrontend Developer (Angular/TypeScript) – 100 % On-Site in ZürichPlace of work:ZürichWorkload:100%Contract type:Unlimited employmentIR Suite AG,https://www.jobs.ch/en/vacancies/detail/91f99e9c-f59e-466d-8213-15e2e7ed21ee/,2025-08-30T12:56:21.679Z
job_4,Frontend Developer (Angular/TypeScript) – 100 % On-Site in Zürich,,Zürich,100%,,,,Last weekFrontend Developer (Angular/TypeScript) – 100 % On-Site in ZürichPlace of work:ZürichWorkload:100%Contract type:Unlimited employmentIR Suite AG,,2025-08-30T12:56:21.679Z
job_5,Fullstack Entwickler/in 80 - 100%,,Lenzburg,80 – 100%,,,,Last monthFullstack Entwickler/in 80 - 100%Place of work:LenzburgWorkload:80 – 100%Contract type:Unlimited employment Diartis AGRecommended,https://www.jobs.ch/en/vacancies/detail/ae0d21fe-5df1-41e9-b40c-8a223468a271/,2025-08-30T12:56:21.679Z
job_6,Product Designer - UX/UI Prototyping Specialist - Online Marketplaces (w|m|d) | 100% | Zurich or Fribourg | Hybrid Work,,"Zürich, Switzerland",100%,,,,"Last monthProduct Designer - UX/UI Prototyping Specialist - Online Marketplaces (w|m|d) | 100% | Zurich or Fribourg | Hybrid WorkPlace of work:Zürich, SwitzerlandWorkload:100%Contract type:Unlimited employment SMG Swiss Marketplace Group",https://www.jobs.ch/en/vacancies/detail/3ba8d3be-756d-44bd-8589-d321a206755d/,2025-08-30T12:56:21.679Z
job_7,Last quarterSenior UX Designer,,Geneva,100%SonarSource SA,,,,Last quarterSenior UX DesignerPlace of work:GenevaWorkload:100%SonarSource SA,https://www.jobs.ch/en/vacancies/detail/526645a9-3bb7-4803-9b3d-5d5b218d2c24/,2025-08-30T12:56:21.679Z
job_8,Last quarterUI/UX Designer,,Plan-les-Ouates,100%,,,,Last quarterUI/UX DesignerPlace of work:Plan-les-OuatesWorkload:100%Contract type:Unlimited employmentAlohi SA,https://www.jobs.ch/en/vacancies/detail/b3293600-31df-49bc-9e50-ca1539020caa/,2025-08-30T12:56:21.679Z
job_9,Last yearIntern - Ux Design Software Engineer,,Yverdon-les-Bains,100%,,,,Last yearIntern - Ux Design Software EngineerPlace of work:Yverdon-les-BainsWorkload:100%Contract type:Unlimited employmentLambda Health System SA,https://www.jobs.ch/en/vacancies/detail/e33b5e91-ea6e-4a1b-9150-1e29a6b41479/,2025-08-30T12:56:21.679Z
job_10,Last yearFrontend Developer / Web Developer 80 - 100%,,Herisau,80 – 100%,,,,Last yearFrontend Developer / Web Developer 80 - 100%Place of work:HerisauWorkload:80 – 100%Contract type:Unlimited employmentclavis IT ag,https://www.jobs.ch/en/vacancies/detail/cadbf333-1dc3-45df-b29d-c3517fac769e/,2025-08-30T12:56:21.679Z
job_11,Last yearInteraction Designer,,Zürich,100%,,,,Last yearInteraction DesignerPlace of work:ZürichWorkload:100%Contract type:Unlimited employmentComerge AG,https://www.jobs.ch/en/vacancies/detail/e7f5cf60-d28f-490a-8557-5ea9ba59cfd4/,2025-08-30T12:56:21.679Z
job_12,Last yearErfahrener Frontend Developer,,8032 Zürich,100%,,,,Last yearErfahrener Frontend DeveloperPlace of work:8032 ZürichWorkload:100%Contract type:Unlimited employmentFIREGROUP GmbH,https://www.jobs.ch/en/vacancies/detail/7a7342c6-7829-499d-97d4-86e11c8f2f92/,2025-08-30T12:56:21.679Z
job_13,Last quarterPrincipal UX Designer,,Geneva,100%SonarSource SA,,,,Last quarterPrincipal UX DesignerPlace of work:GenevaWorkload:100%SonarSource SA,https://www.jobs.ch/en/vacancies/detail/065ce0fc-405f-49da-8b55-6ba83d0664ed/,2025-08-30T12:56:21.679Z
job_14,Consultant RPA & Agentic Automation - UI Path (all genders),,Bern,100%,,,,3 days agoConsultant RPA & Agentic Automation - UI Path (all genders)Place of work:BernWorkload:100%Contract type:Unlimited employmentadesso Schweiz AG,https://www.jobs.ch/en/vacancies/detail/72887ba4-4d5d-4e07-b714-c73f8dff987e/,2025-08-30T12:56:21.679Z
job_15,Last yearFront-End Developer,,Chiasso,100%,,,,Last yearFront-End DeveloperPlace of work:ChiassoWorkload:100%Contract type:Unlimited employmentCodeWay SA,https://www.jobs.ch/en/vacancies/detail/690819b6-e0f5-48bd-b196-227cfd62ccdc/,2025-08-30T12:56:21.679Z
job_16,Last yearFrontend Developer,,Zürich,100%,,,,Last yearFrontend DeveloperPlace of work:ZürichWorkload:100%Contract type:Unlimited employmentComerge AG,https://www.jobs.ch/en/vacancies/detail/d4a79fd3-e6b9-47c9-ac90-8207ea230962/,2025-08-30T12:56:21.679Z
job_17,4 weeks agoStudentische Hilfsassistenz / Frontend Developer 30-40%,,Bern,30 – 40%Universität Bern,,,,4 weeks agoStudentische Hilfsassistenz / Frontend Developer 30-40%Place of work:BernWorkload:30 – 40%Universität Bern,https://www.jobs.ch/en/vacancies/detail/818bbf23-b5ce-41d8-8325-0c8b355d38f1/,2025-08-30T12:56:21.679Z
job_18,"UI Entwickler*in Web, Desktop Maschinen 80-100%",,Dietfurt,80 – 100%,,,,"Last monthUI Entwickler*in Web, Desktop Maschinen 80-100%Place of work:DietfurtWorkload:80 – 100%Contract type:Unlimited employmentAVM Engineering AG",https://www.jobs.ch/en/vacancies/detail/5daeaf68-412a-49c3-b63c-f05d68e6e8ab/,2025-08-30T12:56:21.679Z
job_19,2 quarters agoReact Frontend-Entwickler/-in ab 80% (m/w/d),,Zürich,80%,,,,"2 quarters agoReact Frontend-Entwickler/-in ab 80% (m/w/d)Place of work:ZürichWorkload:80%Contract type:Unlimited employmentSUISA, Genossenschaft der Urheber und Verleger von Musik",https://www.jobs.ch/en/vacancies/detail/16859b8a-d170-4c94-b40e-e931d4532a0c/,2025-08-30T12:56:21.679Z
job_20,Learning Designer – STEM (80%-100%),,Zürich,80 – 100%,,,,Last monthLearning Designer – STEM (80%-100%)Place of work:ZürichWorkload:80 – 100%Contract type:Unlimited employmentEvulpo AG,https://www.jobs.ch/en/vacancies/detail/4c5736bb-5394-4d85-accd-e071ac899da9/,2025-08-30T12:56:21.679Z
job_21,Last quarterMitarbeiter für die End- & Förderbandmontage,,Seedorf,100%,,,,Last quarterMitarbeiter für die End- & FörderbandmontagePlace of work:SeedorfWorkload:100%Contract type:Unlimited employmentGipo AG,https://www.jobs.ch/en/vacancies/detail/b65c96a9-e059-40f7-8cef-dfedf04aab47/,2025-08-30T12:56:21.679Z
job_22,Last yearUnsere offenen Stellen als Project Manager,,Halten,100%,,,,Last yearUnsere offenen Stellen als Project ManagerPlace of work:HaltenWorkload:100%Contract type:Unlimited employmentUnic AG,https://www.jobs.ch/en/vacancies/detail/15e392f3-d3db-4743-856d-34a99d76c24b/,2025-08-30T12:56:21.679Z
job_1,Last quarterSenior AI Engineer,,Prilly,100%,,,,Last quarterSenior AI EngineerPlace of work:PrillyWorkload:100%Contract type:Unlimited employmentNexthink SA,https://www.jobs.ch/en/vacancies/detail/c6a801ba-90bb-4d3a-8b38-499e1e3dc0b9/,2025-08-30T12:56:32.611Z
job_2,3 weeks agoUI Designer E-Commerce (d/f/m),,Kreuzlingen,100%,,,,3 weeks agoUI Designer E-Commerce (d/f/m)Place of work:KreuzlingenWorkload:100%Contract type:Unlimited employmentHOLY FASHION GROUP,https://www.jobs.ch/en/vacancies/detail/5fb92890-0fb2-4421-879d-d967f1a13ae3/,2025-08-30T12:56:32.611Z
job_3,Designer UX-UI à 80-100% (F/H),,Genève,80 – 100%,,,,Last monthDesigner UX-UI à 80-100% (F/H)Place of work:GenèveWorkload:80 – 100%Contract type:Unlimited employmentMeanquest,https://www.jobs.ch/en/vacancies/detail/b9af2c9f-03a2-4ec5-b309-266d8256b48f/,2025-08-30T12:56:32.611Z
job_4,"4 weeks agoSenior UX Researcher 80-100% (w/m/d) Job in Rapperswil, St. Gallen, CH",,Rapperswil-Jona,80 – 100%,,,,"4 weeks agoSenior UX Researcher 80-100% (w/m/d) Job in Rapperswil, St. Gallen, CHPlace of work:Rapperswil-JonaWorkload:80 – 100%Contract type:Unlimited employmentBexio",https://www.jobs.ch/en/vacancies/detail/a48c6b21-c2d0-4277-9637-a047d1ba7f52/,2025-08-30T12:56:32.611Z
job_5,3 weeks agoMultimedia Designer (m/w/d) 50%,,Vaduz,50%,,,,3 weeks agoMultimedia Designer (m/w/d) 50%Place of work:VaduzWorkload:50%Contract type:Unlimited employmentHoval Aktiengesellschaft,https://www.jobs.ch/en/vacancies/detail/d0540732-d572-48b2-a7b1-0744c9e21798/,2025-08-30T12:56:32.611Z
job_6,3 weeks agoMultimedia Designer (m/w/d) 50%,,Vaduz,50%,,,,3 weeks agoMultimedia Designer (m/w/d) 50%Place of work:VaduzWorkload:50%Contract type:Unlimited employmentHoval AG,https://www.jobs.ch/en/vacancies/detail/b19c9490-10cb-4882-9eba-d6d4ca51cb0c/,2025-08-30T12:56:32.611Z
